t (s),V (V)
0.0724,5.68253968
0.0726,5.68742369
0.0728,5.68742369
0.073,5.68253968
0.0732,5.68742369
0.0734,5.68253968
0.0736,5.68253968
0.0738,5.68253968
0.074,5.67765568
0.0742,5.67765568
0.0744,5.68253968
0.0746,5.68742369
0.0748,5.68253968
0.075,5.68253968
0.0752,5.68253968
0.0754,5.68253968
0.0756,5.68253968
0.0758,5.67765568
0.076,5.68253968
0.0762,5.67765568
0.0764,5.67765568
0.0766,5.68742369
0.0768,5.68253968
0.077,5.68253968
0.0772,5.68253968
0.0774,5.69230769
0.0776,5.68742369
0.0778,5.68742369
0.078,5.68742369
0.0782,5.68742369
0.0784,5.67765568
0.0786,5.68253968
0.0788,5.67765568
0.079,5.68253968
0.0792,5.68253968
0.0794,5.68253968
0.0796,5.68253968
0.0798,5.68253968
0.08,5.67765568
0.0802,5.67765568
0.0804,5.68742369
0.0806,5.67765568
0.0808,5.67765568
0.081,5.68253968
0.0812,5.67765568
0.0814,5.67277167
0.0816,5.67277167
0.0818,5.67277167
0.082,5.67765568
0.0822,5.67277167
0.0824,5.67765568
0.0826,5.67765568
0.0828,5.67277167
0.083,5.67765568
0.0832,5.67765568
0.0834,5.67765568
0.0836,5.67277167
0.0838,5.68253968
0.084,5.68742369
0.0842,5.68253968
0.0844,5.67765568
0.0846,5.68253968
0.0848,5.68742369
0.085,5.67765568
0.0852,5.68253968
0.0854,5.68742369
0.0856,5.68742369
0.0858,5.68742369
0.086,5.68742369
0.0862,5.69230769
0.0864,5.6971917
0.0866,5.69230769
0.0868,5.6971917
0.087,5.7020757
0.0872,5.70695971
0.0874,5.70695971
0.0876,5.7020757
0.0878,5.70695971
0.088,5.7020757
0.0882,5.7020757
0.0884,5.7020757
0.0886,5.70695971
0.0888,5.68253968
0.089,5.63858364
0.0892,5.54578755
0.0894,5.39438339
0.0896,5.21855922
0.0898,5.003663
0.09,4.76923077
0.0902,4.52991453
0.0904,4.29059829
0.0906,4.07081807
0.0908,3.89010989
0.091,3.75335775
0.0912,3.68009768
0.0914,3.66056166
0.0916,3.66056166
0.0918,3.65079365
0.092,3.65079365
0.0922,3.65079365
0.0924,3.65079365
0.0926,3.64102564
0.0928,3.65079365
0.093,3.65567766
0.0932,3.65079365
0.0934,3.64590965
0.0936,3.65079365
0.0938,3.65567766
0.094,3.64590965
0.0942,3.65567766
0.0944,3.65567766
0.0946,3.65567766
0.0948,3.65567766
0.095,3.65567766
0.0952,3.65079365
0.0954,3.65079365
0.0956,3.65079365
0.0958,3.64590965
0.096,3.65079365
0.0962,3.64590965
0.0964,3.64590965
0.0966,3.64102564
0.0968,3.64590965
0.097,3.64590965
0.0972,3.65079365
0.0974,3.64590965
0.0976,3.64590965
0.0978,3.64102564
0.098,3.64590965
0.0982,3.64102564
0.0984,3.64590965
0.0986,3.63614164
0.0988,3.63614164
0.099,3.64102564
0.0992,3.64102564
0.0994,3.64590965
0.0996,3.64590965
0.0998,3.64590965
0.1,3.64590965
0.1002,3.64590965
0.1004,3.64102564
0.1006,3.64590965
0.1008,3.64102564
0.101,3.64102564
0.1012,3.64590965
0.1014,3.65079365
0.1016,3.64102564
0.1018,3.64590965
0.102,3.64590965
0.1022,3.64590965
0.1024,3.65079365
0.1026,3.65079365
0.1028,3.65079365
0.103,3.64590965
0.1032,3.64590965
0.1034,3.65079365
0.1036,3.65079365
0.1038,3.64590965
0.104,3.65079365
0.1042,3.65567766
0.1044,3.65079365
0.1046,3.65079365
0.1048,3.65079365
0.105,3.65567766
0.1052,3.65079365
0.1054,3.65567766
0.1056,3.65567766
0.1058,3.65567766
0.106,3.67032967
0.1062,3.73870574
0.1064,3.87057387
0.1066,4.05616606
0.1068,4.3003663
0.107,4.58363858
0.1072,4.87179487
0.1074,5.14529915
0.1076,5.39438339
0.1078,5.57509158
0.108,5.66300366
0.1082,5.68742369
0.1084,5.6971917
0.1086,5.6971917
0.1088,5.69230769
0.109,5.68742369
0.1092,5.6971917
0.1094,5.6971917
0.1096,5.69230769
0.1098,5.6971917
0.11,5.6971917
0.1102,5.68742369
0.1104,5.68742369
0.1106,5.68742369
0.1108,5.68742369
0.111,5.68742369
0.1112,5.68742369
0.1114,5.68253968
0.1116,5.68742369
0.1118,5.68742369
0.112,5.67765568
0.1122,5.68253968
0.1124,5.68253968
0.1126,5.68253968
0.1128,5.67765568
0.113,5.68253968
0.1132,5.67765568
0.1134,5.68253968
0.1136,5.68253968
0.1138,5.68253968
0.114,5.67765568
0.1142,5.67765568
0.1144,5.68253968
0.1146,5.67765568
0.1148,5.67277167
0.115,5.67277167
0.1152,5.68253968
0.1154,5.67765568
0.1156,5.67765568
0.1158,5.67765568
0.116,5.67765568
0.1162,5.67765568
0.1164,5.67765568
0.1166,5.67765568
0.1168,5.68253968
0.117,5.67765568
0.1172,5.68253968
0.1174,5.67765568
0.1176,5.67765568
0.1178,5.67277167
0.118,5.67765568
0.1182,5.68253968
0.1184,5.67765568
0.1186,5.67277167
0.1188,5.68253968
0.119,5.67765568
0.1192,5.68742369
0.1194,5.67765568
0.1196,5.68742369
0.1198,5.68253968
0.12,5.68253968
0.1202,5.68742369
0.1204,5.68742369
0.1206,5.68253968
0.1208,5.68253968
0.121,5.68253968
0.1212,5.68253968
0.1214,5.68253968
0.1216,5.67765568
0.1218,5.68253968
0.122,5.68742369
0.1222,5.68253968
0.1224,5.68253968
0.1226,5.68742369
0.1228,5.68253968
0.123,5.67765568
0.1232,5.67765568
0.1234,5.68742369
0.1236,5.67765568
0.1238,5.67765568
0.124,5.68253968
0.1242,5.68253968
0.1244,5.67765568
0.1246,5.67765568
0.1248,5.68253968
0.125,5.67765568
0.1252,5.67765568
0.1254,5.68253968
0.1256,5.68253968
0.1258,5.68742369
0.126,5.67765568
0.1262,5.68253968
0.1264,5.68742369
0.1266,5.68742369
0.1268,5.67765568
0.127,5.68742369
0.1272,5.68742369
0.1274,5.67765568
0.1276,5.68742369
0.1278,5.68742369
0.128,5.68742369
0.1282,5.68742369
0.1284,5.68742369
0.1286,5.68742369
0.1288,5.68742369
0.129,5.67765568
0.1292,5.68742369
0.1294,5.68253968
0.1296,5.68253968
0.1298,5.68253968
0.13,5.68253968
0.1302,5.68742369
0.1304,5.67765568
0.1306,5.67765568
0.1308,5.68253968
0.131,5.67765568
0.1312,5.67765568
0.1314,5.67765568
0.1316,5.67765568
0.1318,5.67765568
0.132,5.67765568
0.1322,5.67765568
0.1324,5.67765568
0.1326,5.67277167
0.1328,5.67765568
0.133,5.67765568
0.1332,5.67765568
0.1334,5.66788767
0.1336,5.67277167
0.1338,5.68253968
0.134,5.68253968
0.1342,5.68253968
0.1344,5.67765568
0.1346,5.68253968
0.1348,5.67765568
0.135,5.67765568
0.1352,5.68253968
0.1354,5.68253968
0.1356,5.67765568
0.1358,5.68253968
0.136,5.68253968
0.1362,5.68253968
0.1364,5.67765568
0.1366,5.68253968
0.1368,5.68742369
0.137,5.68742369
0.1372,5.68253968
0.1374,5.68742369
0.1376,5.68253968
0.1378,5.68253968
0.138,5.68742369
0.1382,5.68742369
0.1384,5.68253968
0.1386,5.67765568
0.1388,5.68253968
0.139,5.68253968
0.1392,5.67765568
0.1394,5.67765568
0.1396,5.68253968
0.1398,5.68742369
0.14,5.67765568
0.1402,5.68742369
0.1404,5.68253968
0.1406,5.68742369
0.1408,5.67765568
0.141,5.68253968
0.1412,5.68253968
0.1414,5.67765568
0.1416,5.67765568
0.1418,5.67765568
0.142,5.67765568
0.1422,5.67765568
0.1424,5.67765568
0.1426,5.68742369
0.1428,5.69230769
0.143,5.67765568
0.1432,5.68742369
0.1434,5.68253968
0.1436,5.68253968
0.1438,5.67765568
0.144,5.68742369
0.1442,5.68742369
0.1444,5.68742369
0.1446,5.68742369
0.1448,5.68742369
0.145,5.68742369
0.1452,5.68253968
0.1454,5.67765568
0.1456,5.68253968
0.1458,5.68253968
0.146,5.68253968
0.1462,5.68253968
0.1464,5.68742369
0.1466,5.68253968
0.1468,5.68253968
0.147,5.67765568
0.1472,5.68253968
0.1474,5.67765568
0.1476,5.67765568
0.1478,5.68253968
0.148,5.68253968
0.1482,5.67765568
0.1484,5.67765568
0.1486,5.68253968
0.1488,5.67765568
0.149,5.67277167
0.1492,5.67765568
0.1494,5.68253968
0.1496,5.67765568
0.1498,5.67277167
0.15,5.67277167
0.1502,5.67277167
0.1504,5.67765568
0.1506,5.67765568
0.1508,5.67765568
0.151,5.67765568
0.1512,5.67765568
0.1514,5.68253968
0.1516,5.68253968
0.1518,5.67765568
0.152,5.67765568
0.1522,5.67765568
0.1524,5.68253968
0.1526,5.67765568
0.1528,5.67765568
0.153,5.68253968
0.1532,5.68742369
0.1534,5.67765568
0.1536,5.68253968
0.1538,5.68253968
0.154,5.68253968
0.1542,5.68253968
0.1544,5.68253968
0.1546,5.68742369
0.1548,5.67765568
0.155,5.67765568
0.1552,5.68253968
0.1554,5.68742369
0.1556,5.67765568
0.1558,5.68253968
0.156,5.67765568
0.1562,5.68742369
0.1564,5.67765568
0.1566,5.68742369
0.1568,5.68742369
0.157,5.67277167
0.1572,5.67765568
0.1574,5.67765568
0.1576,5.68742369
0.1578,5.68253968
0.158,5.68253968
0.1582,5.68253968
0.1584,5.68253968
0.1586,5.67277167
0.1588,5.67765568
0.159,5.67765568
0.1592,5.67765568
0.1594,5.67765568
0.1596,5.68253968
0.1598,5.68742369
0.16,5.68742369
0.1602,5.68742369
0.1604,5.69230769
0.1606,5.68742369
0.1608,5.68253968
0.161,5.68253968
0.1612,5.67765568
0.1614,5.68253968
0.1616,5.67765568
0.1618,5.68253968
0.162,5.68253968
0.1622,5.68253968
0.1624,5.68253968
0.1626,5.68742369
0.1628,5.68742369
0.163,5.68253968
0.1632,5.67765568
0.1634,5.68742369
0.1636,5.68253968
0.1638,5.67765568
0.164,5.67765568
0.1642,5.68253968
0.1644,5.68253968
0.1646,5.67765568
0.1648,5.67765568
0.165,5.67765568
0.1652,5.67765568
0.1654,5.67277167
0.1656,5.67765568
0.1658,5.67765568
0.166,5.67765568
0.1662,5.67765568
0.1664,5.67765568
0.1666,5.67765568
0.1668,5.67765568
0.167,5.67765568
0.1672,5.68253968
0.1674,5.68253968
0.1676,5.67765568
0.1678,5.68253968
0.168,5.68253968
0.1682,5.67765568
0.1684,5.67765568
0.1686,5.67765568
0.1688,5.67765568
0.169,5.67277167
0.1692,5.68253968
0.1694,5.68742369
0.1696,5.68742369
0.1698,5.67765568
0.17,5.68742369
0.1702,5.68742369
0.1704,5.68742369
0.1706,5.68253968
0.1708,5.68253968
0.171,5.68742369
0.1712,5.67765568
0.1714,5.68742369
0.1716,5.68253968
0.1718,5.68253968
0.172,5.68253968
0.1722,5.68253968
0.1724,5.68253968
0.1726,5.67765568
0.1728,5.67765568
0.173,5.68253968
0.1732,5.68253968
0.1734,5.67765568
0.1736,5.68253968
0.1738,5.68253968
0.174,5.68253968
0.1742,5.67765568
0.1744,5.68253968
0.1746,5.68253968
0.1748,5.68253968
0.175,5.68253968
0.1752,5.67765568
0.1754,5.68742369
0.1756,5.67765568
0.1758,5.67765568
0.176,5.68253968
0.1762,5.68253968
0.1764,5.67765568
0.1766,5.67765568
0.1768,5.68742369
0.177,5.67765568
0.1772,5.68253968
0.1774,5.68253968
0.1776,5.68742369
0.1778,5.68253968
0.178,5.67765568
0.1782,5.68742369
0.1784,5.68253968
0.1786,5.67765568
0.1788,5.67765568
0.179,5.68253968
0.1792,5.68742369
0.1794,5.67765568
0.1796,5.68253968
0.1798,5.68253968
0.18,5.67765568
0.1802,5.67765568
0.1804,5.67765568
0.1806,5.68742369
0.1808,5.68253968
0.181,5.67765568
0.1812,5.68742369
0.1814,5.68253968
0.1816,5.67277167
0.1818,5.67277167
0.182,5.67765568
0.1822,5.67765568
0.1824,5.67765568
0.1826,5.68253968
0.1828,5.69230769
0.183,5.67765568
0.1832,5.67277167
0.1834,5.67277167
0.1836,5.67277167
0.1838,5.67765568
0.184,5.67277167
0.1842,5.67765568
0.1844,5.68253968
0.1846,5.67765568
0.1848,5.68253968
0.185,5.68253968
0.1852,5.67765568
0.1854,5.67765568
0.1856,5.67765568
0.1858,5.67765568
0.186,5.67765568
0.1862,5.67765568
0.1864,5.68253968
0.1866,5.68253968
0.1868,5.67765568
0.187,5.67765568
0.1872,5.68742369
0.1874,5.68253968
0.1876,5.68253968
0.1878,5.68253968
0.188,5.68253968
0.1882,5.68253968
0.1884,5.68253968
0.1886,5.68742369
0.1888,5.68742369
0.189,5.67765568
0.1892,5.67765568
0.1894,5.68253968
0.1896,5.68253968
0.1898,5.67765568
0.19,5.68253968
0.1902,5.68253968
0.1904,5.68742369
0.1906,5.67765568
0.1908,5.67765568
0.191,5.68742369
0.1912,5.67765568
0.1914,5.68253968
0.1916,5.68742369
0.1918,5.68742369
0.192,5.68253968
0.1922,5.68253968
0.1924,5.68253968
0.1926,5.68742369
0.1928,5.68253968
0.193,5.68253968
0.1932,5.68253968
0.1934,5.68253968
0.1936,5.68742369
0.1938,5.68742369
0.194,5.68742369
0.1942,5.68253968
0.1944,5.68742369
0.1946,5.68742369
0.1948,5.68742369
0.195,5.68253968
0.1952,5.68253968
0.1954,5.68742369
0.1956,5.68742369
0.1958,5.68253968
0.196,5.68253968
0.1962,5.68253968
0.1964,5.68253968
0.1966,5.68253968
0.1968,5.67765568
0.197,5.68253968
0.1972,5.67765568
0.1974,5.67765568
0.1976,5.68253968
0.1978,5.67765568
0.198,5.67277167
0.1982,5.68253968
0.1984,5.67765568
0.1986,5.67277167
0.1988,5.67277167
0.199,5.67765568
0.1992,5.68253968
0.1994,5.67765568
0.1996,5.67277167
0.1998,5.67277167
0.2,5.66788767
0.2002,5.66788767
0.2004,5.67277167
0.2006,5.68253968
0.2008,5.68253968
0.201,5.67765568
0.2012,5.67765568
0.2014,5.68253968
0.2016,5.67765568
0.2018,5.68253968
0.202,5.67765568
0.2022,5.67765568
0.2024,5.67765568
0.2026,5.67765568
0.2028,5.67765568
0.203,5.67765568
0.2032,5.67765568
0.2034,5.68742369
0.2036,5.68742369
0.2038,5.68253968
0.204,5.67765568
0.2042,5.68742369
0.2044,5.68742369
0.2046,5.68742369
0.2048,5.67765568
0.205,5.68253968
0.2052,5.68253968
0.2054,5.68253968
0.2056,5.67765568
0.2058,5.68742369
0.206,5.68253968
0.2062,5.68253968
0.2064,5.68742369
0.2066,5.68742369
0.2068,5.68253968
0.207,5.68742369
0.2072,5.67765568
0.2074,5.68253968
0.2076,5.67277167
0.2078,5.68253968
0.208,5.68253968
0.2082,5.68742369
0.2084,5.68253968
0.2086,5.68742369
0.2088,5.68742369
0.209,5.67765568
0.2092,5.67765568
0.2094,5.68253968
0.2096,5.69230769
0.2098,5.68253968
0.21,5.68253968
0.2102,5.68253968
0.2104,5.68742369
0.2106,5.68253968
0.2108,5.68742369
0.211,5.69230769
0.2112,5.68742369
0.2114,5.68253968
0.2116,5.68742369
0.2118,5.68742369
0.212,5.67765568
0.2122,5.68253968
0.2124,5.68253968
0.2126,5.68253968
0.2128,5.68253968
0.213,5.68253968
0.2132,5.68253968
0.2134,5.68253968
0.2136,5.68253968
0.2138,5.68253968
0.214,5.68253968
0.2142,5.67765568
0.2144,5.67765568
0.2146,5.68253968
0.2148,5.68742369
0.215,5.67765568
0.2152,5.67765568
0.2154,5.67765568
0.2156,5.67765568
0.2158,5.66788767
0.216,5.67765568
0.2162,5.68253968
0.2164,5.67765568
0.2166,5.67765568
0.2168,5.67765568
0.217,5.68253968
0.2172,5.67765568
0.2174,5.67765568
0.2176,5.67765568
0.2178,5.68253968
0.218,5.67765568
0.2182,5.67765568
0.2184,5.68253968
0.2186,5.67765568
0.2188,5.68253968
0.219,5.68253968
0.2192,5.68253968
0.2194,5.68253968
0.2196,5.68253968
0.2198,5.68253968
0.22,5.68742369
0.2202,5.68742369
0.2204,5.68253968
0.2206,5.68253968
0.2208,5.68742369
0.221,5.67765568
0.2212,5.68253968
0.2214,5.68742369
0.2216,5.68253968
0.2218,5.68253968
0.222,5.68742369
0.2222,5.68742369
0.2224,5.68253968
0.2226,5.68253968
0.2228,5.68253968
0.223,5.68742369
0.2232,5.67765568
0.2234,5.68253968
0.2236,5.68253968
0.2238,5.68253968
0.224,5.67765568
0.2242,5.68253968
0.2244,5.68253968
0.2246,5.68253968
0.2248,5.67765568
0.225,5.68253968
0.2252,5.68742369
0.2254,5.67765568
0.2256,5.68253968
0.2258,5.68253968
0.226,5.68742369
0.2262,5.68253968
0.2264,5.68253968
0.2266,5.68742369
0.2268,5.68253968
0.227,5.68253968
0.2272,5.68253968
0.2274,5.68253968
0.2276,5.68253968
0.2278,5.68253968
0.228,5.68742369
0.2282,5.68742369
0.2284,5.67765568
0.2286,5.68742369
0.2288,5.68253968
0.229,5.68253968
0.2292,5.68253968
0.2294,5.68742369
0.2296,5.68742369
0.2298,5.68253968
0.23,5.68253968
0.2302,5.68253968
0.2304,5.68742369
0.2306,5.67277167
0.2308,5.67765568
0.231,5.68253968
0.2312,5.67765568
0.2314,5.67765568
0.2316,5.67765568
0.2318,5.68253968
0.232,5.67277167
0.2322,5.68253968
0.2324,5.67765568
0.2326,5.67765568
0.2328,5.67277167
0.233,5.67765568
0.2332,5.67765568
0.2334,5.67765568
0.2336,5.67277167
0.2338,5.67765568
0.234,5.67765568
0.2342,5.67765568
0.2344,5.67277167
0.2346,5.67765568
0.2348,5.68253968
0.235,5.68253968
0.2352,5.67765568
0.2354,5.68253968
0.2356,5.67765568
0.2358,5.67765568
0.236,5.67765568
0.2362,5.68253968
0.2364,5.68742369
0.2366,5.68253968
0.2368,5.68742369
0.237,5.68742369
0.2372,5.68742369
0.2374,5.67765568
0.2376,5.68742369
0.2378,5.68253968
0.238,5.68253968
0.2382,5.68253968
0.2384,5.68742369
0.2386,5.68253968
0.2388,5.68253968
0.239,5.68742369
0.2392,5.68253968
0.2394,5.68253968
0.2396,5.67765568
0.2398,5.68253968
0.24,5.68253968
0.2402,5.68253968
0.2404,5.68253968
0.2406,5.68253968
0.2408,5.68742369
0.241,5.67765568
0.2412,5.68253968
0.2414,5.68253968
0.2416,5.68253968
0.2418,5.67765568
0.242,5.67765568
0.2422,5.68253968
0.2424,5.68253968
0.2426,5.67765568
0.2428,5.68253968
0.243,5.68253968
0.2432,5.68253968
0.2434,5.68253968
0.2436,5.68253968
0.2438,5.68253968
0.244,5.67765568
0.2442,5.68742369
0.2444,5.68742369
0.2446,5.68742369
0.2448,5.68253968
0.245,5.68742369
0.2452,5.69230769
0.2454,5.68742369
0.2456,5.68253968
0.2458,5.68253968
0.246,5.68253968
0.2462,5.67765568
0.2464,5.67765568
0.2466,5.68742369
0.2468,5.68253968
0.247,5.67765568
0.2472,5.68253968
0.2474,5.67765568
0.2476,5.67765568
0.2478,5.67765568
0.248,5.67765568
0.2482,5.68253968
0.2484,5.67765568
0.2486,5.67277167
0.2488,5.67765568
0.249,5.67765568
0.2492,5.67277167
0.2494,5.67277167
0.2496,5.68253968
0.2498,5.67765568
0.25,5.67277167
0.2502,5.67765568
0.2504,5.68253968
0.2506,5.67765568
0.2508,5.68253968
0.251,5.67765568
0.2512,5.67765568
0.2514,5.67277167
0.2516,5.68253968
0.2518,5.68253968
0.252,5.68253968
0.2522,5.67765568
0.2524,5.68253968
0.2526,5.68253968
0.2528,5.68253968
0.253,5.67765568
0.2532,5.67765568
0.2534,5.67765568
0.2536,5.68253968
0.2538,5.68742369
0.254,5.68253968
0.2542,5.68742369
0.2544,5.67765568
0.2546,5.67765568
0.2548,5.68742369
0.255,5.67765568
0.2552,5.68253968
0.2554,5.68253968
0.2556,5.68253968
0.2558,5.67765568
0.256,5.68742369
0.2562,5.68742369
0.2564,5.68742369
0.2566,5.67765568
0.2568,5.68742369
0.257,5.68253968
0.2572,5.68742369
0.2574,5.67765568
0.2576,5.68742369
0.2578,5.68742369
0.258,5.68253968
0.2582,5.68253968
0.2584,5.68742369
0.2586,5.67765568
